order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct
3967,2024-05-31,164,6,1,114.35,0
1317,2024-06-12,33,11,2,127.63,0
2452,2024-10-24,180,35,2,11.58,0
420,2024-09-09,220,24,2,73.36,10
996,2024-11-04,169,7,3,37.71,15
2517,2024-04-03,124,13,2,18.09,15
2492,2025-04-17,36,17,5,58.44,5
3251,2024-11-05,58,5,2,15.92,10
37,2025-05-07,67,20,5,60.25,5
259,2025-07-15,130,20,4,60.25,10
3688,2024-11-24,206,15,5,43.35,0
1418,2024-11-06,285,30,3,97.13,0
1575,2025-07-10,179,15,3,43.35,5
3172,2025-02-23,228,39,4,39.05,10
1801,2025-09-06,49,2,4,131.21,0
2923,2024-09-17,131,28,5,93.46,0
1245,2024-12-19,157,28,2,93.46,0
2171,2025-08-05,133,2,4,131.21,0
4123,2024-11-01,175,12,2,85.81,0
606,2024-11-06,166,24,1,73.36,0
1895,2024-08-29,20,25,1,94.83,5
2909,2025-06-12,122,4,5,72.91,0
920,2024-04-10,282,35,3,11.58,15
468,2025-08-22,267,15,1,43.35,15
1204,2024-09-03,195,25,4,94.83,10
1553,2025-08-20,284,8,3,103.07,0
725,2024-04-20,150,38,5,21.84,10
3726,2025-08-09,42,28,3,93.46,10
3472,2024-09-05,209,28,3,93.46,10
3037,2024-08-26,27,24,2,73.36,0
4203,2024-08-11,71,32,4,106.66,0
3819,2025-06-21,160,12,1,85.81,0
1693,2024-11-30,209,18,1,113.61,15
14,2024-08-04,240,28,5,93.46,0
405,2024-05-14,249,6,1,114.35,0
2659,2024-05-15,22,35,4,11.58,10
2544,2024-07-21,150,20,4,60.25,10
4111,2024-08-07,104,32,5,106.66,0
2075,2024-04-20,249,34,4,21.92,0
3645,2024-05-06,118,38,4,21.84,0
591,2025-03-31,25,19,5,43.01,0
3487,2024-11-17,216,11,5,127.63,0
4115,2024-12-19,200,1,4,47.8,15
902,2025-08-17,187,20,1,60.25,15
1048,2024-07-12,221,25,3,94.83,5
674,2025-06-08,47,28,2,93.46,15
